+0.967s  PROCESS  processor=LLMUserAggregator dir=Downstream frame=Frame { id: 4, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [98, 2, 67, 2, 199, 0, 200, 254, 8, 253, 102, 251, 35, 250, 4, 250, 234, 250, 31, 252, 209, 253, 58, 0, 228, 1, 0, 3,…  (35192 chars)
+0.968s  PUSH     src=LLMUserAggregator dst=OpenAILLM dir=Downstream frame=Frame { id: 4, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [98, 2, 67, 2, 199, 0, 200, 254, 8, 253, 102, 251, 35, 250, 4, 250, 234, 250, 31, 252, 209, 253, 58, 0, 228, 1, 0, 3,…  (35192 chars)
+0.968s  PROCESS  processor=DeepgramTts dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.969s  PUSH     src=DeepgramTts dst=WsTransport-1Output dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.969s  PROCESS  processor=OpenAILLM dir=Downstream frame=Frame { id: 4, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [98, 2, 67, 2, 199, 0, 200, 254, 8, 253, 102, 251, 35, 250, 4, 250, 234, 250, 31, 252, 209, 253, 58, 0, 228, 1, 0, 3,…  (35192 chars)
+0.969s  PROCESS  processor=DeepgramTts dir=Downstream frame=Frame { id: 3, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [179, 1, 38, 2, 47, 2, 142, 1, 114, 0, 218, 255, 249, 254, 66, 254, 32, 254, 23, 254, 78, 254, 182, 254, 0, 255, 213,…  (35198 chars)
+0.970s  PUSH     src=OpenAILLM dst=LLMAssistantAggregator dir=Downstream frame=Frame { id: 4, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [98, 2, 67, 2, 199, 0, 200, 254, 8, 253, 102, 251, 35, 250, 4, 250, 234, 250, 31, 252, 209, 253, 58, 0, 228, 1, 0, 3,…  (35192 chars)
+0.970s  PUSH     src=DeepgramTts dst=WsTransport-1Output dir=Downstream frame=Frame { id: 3, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [179, 1, 38, 2, 47, 2, 142, 1, 114, 0, 218, 255, 249, 254, 66, 254, 32, 254, 23, 254, 78, 254, 182, 254, 0, 255, 213,…  (35198 chars)
+0.970s  PROCESS  processor=LLMAssistantAggregator dir=Downstream frame=Frame { id: 4, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [98, 2, 67, 2, 199, 0, 200, 254, 8, 253, 102, 251, 35, 250, 4, 250, 234, 250, 31, 252, 209, 253, 58, 0, 228, 1, 0, 3,…  (35192 chars)
+0.971s  PROCESS  processor=WsTransport-1Output dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
